Sample,Label ID,Rain Trt,Disp Trt,Soil,CarbonSource,Final,
3,CRA3,ambient,Nonsterile,clay,D-Mannitol,1.031805426,
3,CRA3,ambient,Nonsterile,clay,N-Acetyl-D-Glucosamine,0.163069544,
3,CRA3,ambient,Nonsterile,clay,D-Glucosaminic Acid,0.022813688,
3,CRA3,ambient,Nonsterile,clay,Glucose-1-Phosphate,0,
3,CRA3,ambient,Nonsterile,clay,"D,L-alpha-Glycerol-Phosphate",0,
3,CRA3,ambient,Nonsterile,clay,D-Galactonic Acid gamma-Lactone,0.014986376,
3,CRA3,ambient,Nonsterile,clay,D-Galacturonic Acid ,0,
3,CRA3,ambient,Nonsterile,clay,2-Hydroxy Benzoic Acid,0,
3,CRA3,ambient,Nonsterile,clay,4-Hydroxy Benzoic Acid,0,
3,CRA3,ambient,Nonsterile,clay,gamma-Hydroxybutyric Acid,7.71846E-18,
3,CRA3,ambient,Nonsterile,clay,Itaconic Acid,0.001088139,
3,CRA3,ambient,Nonsterile,clay,alpha-Ketobutyric Acid,0.016728625,
3,CRA3,ambient,Nonsterile,clay,D-malic Acid,0.066964286,
3,CRA3,ambient,Nonsterile,clay,L-Arginine,0.049258475,
3,CRA3,ambient,Nonsterile,clay,L-Asparagine,0.096630327,
3,CRA3,ambient,Nonsterile,clay,L-Phenylalanine,0.652173913,
3,CRA3,ambient,Nonsterile,clay,L-Serine,0.00203252,
3,CRA3,ambient,Nonsterile,clay,L-Theronine,0.208969466,
3,CRA3,ambient,Nonsterile,clay,Glycyl-L-Glutamic Acid,0.05648267,
3,CRA3,ambient,Nonsterile,clay,Phenylethyl-amine,0,
3,CRA3,ambient,Nonsterile,clay,Putrescine,0,
4,CRA4,ambient,Nonsterile,clay,water,0,
4,CRA4,ambient,Nonsterile,clay,pyruvic acid methyl ester,0.324923077,
4,CRA4,ambient,Nonsterile,clay,Tween 40,0.008945687,
4,CRA4,ambient,Nonsterile,clay,Twen 80,0.011869436,
4,CRA4,ambient,Nonsterile,clay,alpha-cyclodextrin,0.002402402,
4,CRA4,ambient,Nonsterile,clay,glycogen,0.017230769,
4,CRA4,ambient,Nonsterile,clay,D-Cellobiose,0,
4,CRA4,ambient,Nonsterile,clay,alpha-D-Lactose,0,
4,CRA4,ambient,Nonsterile,clay,Beta-Methyl-D-Glucoside,0,
4,CRA4,ambient,Nonsterile,clay,D-xylose,0,
4,CRA4,ambient,Nonsterile,clay,i-Erythritol,0.000619195,
4,CRA4,ambient,Nonsterile,clay,D-Mannitol,0.303512881,
4,CRA4,ambient,Nonsterile,clay,N-Acetyl-D-Glucosamine,0.054654655,
4,CRA4,ambient,Nonsterile,clay,D-Glucosaminic Acid,0.048253968,
4,CRA4,ambient,Nonsterile,clay,Glucose-1-Phosphate,0,
4,CRA4,ambient,Nonsterile,clay,"D,L-alpha-Glycerol-Phosphate",0.347826087,
4,CRA4,ambient,Nonsterile,clay,D-Galactonic Acid gamma-Lactone,0.010238908,
4,CRA4,ambient,Nonsterile,clay,D-Galacturonic Acid ,0.240378549,
4,CRA4,ambient,Nonsterile,clay,2-Hydroxy Benzoic Acid,0,
4,CRA4,ambient,Nonsterile,clay,4-Hydroxy Benzoic Acid,0,
4,CRA4,ambient,Nonsterile,clay,gamma-Hydroxybutyric Acid,0.003899721,
4,CRA4,ambient,Nonsterile,clay,Itaconic Acid,0,
4,CRA4,ambient,Nonsterile,clay,alpha-Ketobutyric Acid,0.003738318,
4,CRA4,ambient,Nonsterile,clay,D-malic Acid,0.261341853,
4,CRA4,ambient,Nonsterile,clay,L-Arginine,0.783554377,
4,CRA4,ambient,Nonsterile,clay,L-Asparagine,0.006947891,
4,CRA4,ambient,Nonsterile,clay,L-Phenylalanine,0.010888252,
4,CRA4,ambient,Nonsterile,clay,L-Serine,0,
4,CRA4,ambient,Nonsterile,clay,L-Theronine,0.001913876,
4,CRA4,ambient,Nonsterile,clay,Glycyl-L-Glutamic Acid,0.346623794,
4,CRA4,ambient,Nonsterile,clay,Phenylethyl-amine,0,
4,CRA4,ambient,Nonsterile,clay,Putrescine,1.089570552,
5,CRA5,ambient,Nonsterile,clay,water,0,
5,CRA5,ambient,Nonsterile,clay,pyruvic acid methyl ester,0.129310345,
5,CRA5,ambient,Nonsterile,clay,Tween 40,0.008951407,
5,CRA5,ambient,Nonsterile,clay,Twen 80,0.174584323,
5,CRA5,ambient,Nonsterile,clay,alpha-cyclodextrin,0.516826923,
5,CRA5,ambient,Nonsterile,clay,glycogen,0.684729064,
5,CRA5,ambient,Nonsterile,clay,D-Cellobiose,0,
5,CRA5,ambient,Nonsterile,clay,alpha-D-Lactose,0.096452328,
5,CRA5,ambient,Nonsterile,clay,Beta-Methyl-D-Glucoside,0.004019293,
5,CRA5,ambient,Nonsterile,clay,D-xylose,0,
5,CRA5,ambient,Nonsterile,clay,i-Erythritol,0,
5,CRA5,ambient,Nonsterile,clay,D-Mannitol,0.992970947,
5,CRA5,ambient,Nonsterile,clay,N-Acetyl-D-Glucosamine,0.304086538,
5,CRA5,ambient,Nonsterile,clay,D-Glucosaminic Acid,0.026048285,
5,CRA5,ambient,Nonsterile,clay,Glucose-1-Phosphate,0.173333333,
5,CRA5,ambient,Nonsterile,clay,"D,L-alpha-Glycerol-Phosphate",0.072674419,
5,CRA5,ambient,Nonsterile,clay,D-Galactonic Acid gamma-Lactone,0.011612022,
5,CRA5,ambient,Nonsterile,clay,D-Galacturonic Acid ,0.306186869,
5,CRA5,ambient,Nonsterile,clay,2-Hydroxy Benzoic Acid,0,
5,CRA5,ambient,Nonsterile,clay,4-Hydroxy Benzoic Acid,0,
5,CRA5,ambient,Nonsterile,clay,gamma-Hydroxybutyric Acid,0.371237458,
5,CRA5,ambient,Nonsterile,clay,Itaconic Acid,0,
5,CRA5,ambient,Nonsterile,clay,alpha-Ketobutyric Acid,0.001872659,
5,CRA5,ambient,Nonsterile,clay,D-malic Acid,0.04028133,
5,CRA5,ambient,Nonsterile,clay,L-Arginine,0.003715499,
5,CRA5,ambient,Nonsterile,clay,L-Asparagine,0.310327706,
5,CRA5,ambient,Nonsterile,clay,L-Phenylalanine,0,
5,CRA5,ambient,Nonsterile,clay,L-Serine,0.034114053,
5,CRA5,ambient,Nonsterile,clay,L-Theronine,0.004789272,
5,CRA5,ambient,Nonsterile,clay,Glycyl-L-Glutamic Acid,0.010939511,
5,CRA5,ambient,Nonsterile,clay,Phenylethyl-amine,0,
5,CRA5,ambient,Nonsterile,clay,Putrescine,0.853808354,
6,CRA6,ambient,Nonsterile,clay,water,0,
6,CRA6,ambient,Nonsterile,clay,pyruvic acid methyl ester,0.231669747,
6,CRA6,ambient,Nonsterile,clay,Tween 40,0.008317338,
6,CRA6,ambient,Nonsterile,clay,Twen 80,0.011289364,
6,CRA6,ambient,Nonsterile,clay,alpha-cyclodextrin,0.001803969,
6,CRA6,ambient,Nonsterile,clay,glycogen,0.009242144,
6,CRA6,ambient,Nonsterile,clay,D-Cellobiose,0.377166766,
6,CRA6,ambient,Nonsterile,clay,alpha-D-Lactose,0,
6,CRA6,ambient,Nonsterile,clay,Beta-Methyl-D-Glucoside,0.109412711,
6,CRA6,ambient,Nonsterile,clay,D-xylose,0.077365395,
6,CRA6,ambient,Nonsterile,clay,i-Erythritol,0,
6,CRA6,ambient,Nonsterile,clay,D-Mannitol,0.862634787,
6,CRA6,ambient,Nonsterile,clay,N-Acetyl-D-Glucosamine,0.451593506,
6,CRA6,ambient,Nonsterile,clay,D-Glucosaminic Acid,0,
6,CRA6,ambient,Nonsterile,clay,Glucose-1-Phosphate,0.9,
6,CRA6,ambient,Nonsterile,clay,"D,L-alpha-Glycerol-Phosphate",0,
6,CRA6,ambient,Nonsterile,clay,D-Galactonic Acid gamma-Lactone,0.015721121,
6,CRA6,ambient,Nonsterile,clay,D-Galacturonic Acid ,1.14971573,
6,CRA6,ambient,Nonsterile,clay,2-Hydroxy Benzoic Acid,0,
6,CRA6,ambient,Nonsterile,clay,4-Hydroxy Benzoic Acid,0.693926639,
6,CRA6,ambient,Nonsterile,clay,gamma-Hydroxybutyric Acid,0.006692694,
6,CRA6,ambient,Nonsterile,clay,Itaconic Acid,0.025641026,
6,CRA6,ambient,Nonsterile,clay,alpha-Ketobutyric Acid,0,
6,CRA6,ambient,Nonsterile,clay,D-malic Acid,0,
6,CRA6,ambient,Nonsterile,clay,L-Arginine,1.098778545,
6,CRA6,ambient,Nonsterile,clay,L-Asparagine,0,
6,CRA6,ambient,Nonsterile,clay,L-Phenylalanine,0,
6,CRA6,ambient,Nonsterile,clay,L-Serine,0,
6,CRA6,ambient,Nonsterile,clay,L-Theronine,0.099712368,
6,CRA6,ambient,Nonsterile,clay,Glycyl-L-Glutamic Acid,0.223438506,
6,CRA6,ambient,Nonsterile,clay,Phenylethyl-amine,0,
6,CRA6,ambient,Nonsterile,clay,Putrescine,0,
7,CRA7,ambient,Nonsterile,clay,water,0,
7,CRA7,ambient,Nonsterile,clay,pyruvic acid methyl ester,0.388820639,
7,CRA7,ambient,Nonsterile,clay,Tween 40,0.713647959,
7,CRA7,ambient,Nonsterile,clay,Twen 80,0.479265403,
7,CRA7,ambient,Nonsterile,clay,alpha-cyclodextrin,0.320143885,
7,CRA7,ambient,Nonsterile,clay,glycogen,0.608722359,
7,CRA7,ambient,Nonsterile,clay,D-Cellobiose,0.330154946,
7,CRA7,ambient,Nonsterile,clay,alpha-D-Lactose,0.002212389,
7,CRA7,ambient,Nonsterile,clay,Beta-Methyl-D-Glucoside,0.241185897,
7,CRA7,ambient,Nonsterile,clay,D-xylose,0.005735141,
7,CRA7,ambient,Nonsterile,clay,i-Erythritol,0.009270705,
7,CRA7,ambient,Nonsterile,clay,D-Mannitol,0.833021515,
7,CRA7,ambient,Nonsterile,clay,N-Acetyl-D-Glucosamine,0.979016787,
7,CRA7,ambient,Nonsterile,clay,D-Glucosaminic Acid,0.920152091,
7,CRA7,ambient,Nonsterile,clay,Glucose-1-Phosphate,0,
7,CRA7,ambient,Nonsterile,clay,"D,L-alpha-Glycerol-Phosphate",0.24137931,
7,CRA7,ambient,Nonsterile,clay,D-Galactonic Acid gamma-Lactone,0.324250681,
7,CRA7,ambient,Nonsterile,clay,D-Galacturonic Acid ,0.884130982,
7,CRA7,ambient,Nonsterile,clay,2-Hydroxy Benzoic Acid,0,
7,CRA7,ambient,Nonsterile,clay,4-Hydroxy Benzoic Acid,0.81294964,
7,CRA7,ambient,Nonsterile,clay,gamma-Hydroxybutyric Acid,1.024471635,
7,CRA7,ambient,Nonsterile,clay,Itaconic Acid,1.028835691,
7,CRA7,ambient,Nonsterile,clay,alpha-Ketobutyric Acid,0,
7,CRA7,ambient,Nonsterile,clay,D-malic Acid,1.151785714,
7,CRA7,ambient,Nonsterile,clay,L-Arginine,1.143538136,
7,CRA7,ambient,Nonsterile,clay,L-Asparagine,1.229930624,
7,CRA7,ambient,Nonsterile,clay,L-Phenylalanine,0.030320366,
7,CRA7,ambient,Nonsterile,clay,L-Serine,0.648882114,
7,CRA7,ambient,Nonsterile,clay,L-Theronine,0.041030534,
7,CRA7,ambient,Nonsterile,clay,Glycyl-L-Glutamic Acid,0.562901155,
7,CRA7,ambient,Nonsterile,clay,Phenylethyl-amine,0.669962917,
7,CRA7,ambient,Nonsterile,clay,Putrescine,0.894865526,
8,CRA8,ambient,Nonsterile,clay,water,0,
8,CRA8,ambient,Nonsterile,clay,pyruvic acid methyl ester,0.891676867,
8,CRA8,ambient,Nonsterile,clay,Tween 40,0.920584498,
8,CRA8,ambient,Nonsterile,clay,Twen 80,0.8364817,
8,CRA8,ambient,Nonsterile,clay,alpha-cyclodextrin,0.004181601,
8,CRA8,ambient,Nonsterile,clay,glycogen,0.014075887,
8,CRA8,ambient,Nonsterile,clay,D-Cellobiose,0.955463183,
8,CRA8,ambient,Nonsterile,clay,alpha-D-Lactose,0.028114664,
8,CRA8,ambient,Nonsterile,clay,Beta-Methyl-D-Glucoside,0.12599681,
8,CRA8,ambient,Nonsterile,clay,D-xylose,0.174116424,
8,CRA8,ambient,Nonsterile,clay,i-Erythritol,0.293719212,
8,CRA8,ambient,Nonsterile,clay,D-Mannitol,0.841884328,
8,CRA8,ambient,Nonsterile,clay,N-Acetyl-D-Glucosamine,0.797491039,
8,CRA8,ambient,Nonsterile,clay,D-Glucosaminic Acid,0.845959596,
8,CRA8,ambient,Nonsterile,clay,Glucose-1-Phosphate,0.013333333,
8,CRA8,ambient,Nonsterile,clay,"D,L-alpha-Glycerol-Phosphate",0.194915254,
8,CRA8,ambient,Nonsterile,clay,D-Galactonic Acid gamma-Lactone,1.041383989,
8,CRA8,ambient,Nonsterile,clay,D-Galacturonic Acid ,1.044542033,
8,CRA8,ambient,Nonsterile,clay,2-Hydroxy Benzoic Acid,0,
8,CRA8,ambient,Nonsterile,clay,4-Hydroxy Benzoic Acid,0.459976105,
8,CRA8,ambient,Nonsterile,clay,gamma-Hydroxybutyric Acid,0.742793792,
8,CRA8,ambient,Nonsterile,clay,Itaconic Acid,0.001084599,
8,CRA8,ambient,Nonsterile,clay,alpha-Ketobutyric Acid,0.033088235,
8,CRA8,ambient,Nonsterile,clay,D-malic Acid,0.905972046,
8,CRA8,ambient,Nonsterile,clay,L-Arginine,1.194825766,
8,CRA8,ambient,Nonsterile,clay,L-Asparagine,0.869565217,
8,CRA8,ambient,Nonsterile,clay,L-Phenylalanine,0.010832383,
8,CRA8,ambient,Nonsterile,clay,L-Serine,0.765450861,
8,CRA8,ambient,Nonsterile,clay,L-Theronine,0.478178368,
8,CRA8,ambient,Nonsterile,clay,Glycyl-L-Glutamic Acid,0.258951407,
8,CRA8,ambient,Nonsterile,clay,Phenylethyl-amine,0.002463054,
8,CRA8,ambient,Nonsterile,clay,Putrescine,1.316747573,
9,SRA1,ambient,Nonsterile,sand,water,0,
9,SRA1,ambient,Nonsterile,sand,pyruvic acid methyl ester,0.661805755,
9,SRA1,ambient,Nonsterile,sand,Tween 40,0.484328885,
9,SRA1,ambient,Nonsterile,sand,Twen 80,0.503924002,
9,SRA1,ambient,Nonsterile,sand,alpha-cyclodextrin,0.009009009,
9,SRA1,ambient,Nonsterile,sand,glycogen,0.026029066,
9,SRA1,ambient,Nonsterile,sand,D-Cellobiose,0.328687613,
9,SRA1,ambient,Nonsterile,sand,alpha-D-Lactose,0.247181235,
9,SRA1,ambient,Nonsterile,sand,Beta-Methyl-D-Glucoside,0.14861865,
9,SRA1,ambient,Nonsterile,sand,D-xylose,0.132627327,
9,SRA1,ambient,Nonsterile,sand,i-Erythritol,0.094531198,
9,SRA1,ambient,Nonsterile,sand,D-Mannitol,0.447887278,
9,SRA1,ambient,Nonsterile,sand,N-Acetyl-D-Glucosamine,0.375048372,
9,SRA1,ambient,Nonsterile,sand,D-Glucosaminic Acid,0.512664876,
9,SRA1,ambient,Nonsterile,sand,Glucose-1-Phosphate,2.451111111,
9,SRA1,ambient,Nonsterile,sand,"D,L-alpha-Glycerol-Phosphate",0.330926788,
9,SRA1,ambient,Nonsterile,sand,D-Galactonic Acid gamma-Lactone,0.400873071,
9,SRA1,ambient,Nonsterile,sand,D-Galacturonic Acid ,1.075982335,
9,SRA1,ambient,Nonsterile,sand,2-Hydroxy Benzoic Acid,0.001752848,
9,SRA1,ambient,Nonsterile,sand,4-Hydroxy Benzoic Acid,0.272282258,
9,SRA1,ambient,Nonsterile,sand,gamma-Hydroxybutyric Acid,0.574998433,
9,SRA1,ambient,Nonsterile,sand,Itaconic Acid,0.487474388,
9,SRA1,ambient,Nonsterile,sand,alpha-Ketobutyric Acid,0.319301938,
9,SRA1,ambient,Nonsterile,sand,D-malic Acid,0.604232637,
9,SRA1,ambient,Nonsterile,sand,L-Arginine,0.383161982,
9,SRA1,ambient,Nonsterile,sand,L-Asparagine,0.787514378,
9,SRA1,ambient,Nonsterile,sand,L-Phenylalanine,0.052550118,
9,SRA1,ambient,Nonsterile,sand,L-Serine,0.495286423,
9,SRA1,ambient,Nonsterile,sand,L-Theronine,0.352864906,
9,SRA1,ambient,Nonsterile,sand,Glycyl-L-Glutamic Acid,0.14934478,
9,SRA1,ambient,Nonsterile,sand,Phenylethyl-amine,0.496774206,
9,SRA1,ambient,Nonsterile,sand,Putrescine,1.001557698,
10,SRA2,ambient,Nonsterile,sand,water,0,
10,SRA2,ambient,Nonsterile,sand,pyruvic acid methyl ester,0.820575628,
10,SRA2,ambient,Nonsterile,sand,Tween 40,0.500953592,
10,SRA2,ambient,Nonsterile,sand,Twen 80,0.305965741,
10,SRA2,ambient,Nonsterile,sand,alpha-cyclodextrin,0.079497908,
10,SRA2,ambient,Nonsterile,sand,glycogen,0.074096754,
10,SRA2,ambient,Nonsterile,sand,D-Cellobiose,0.075460487,
10,SRA2,ambient,Nonsterile,sand,alpha-D-Lactose,0.148372863,
10,SRA2,ambient,Nonsterile,sand,Beta-Methyl-D-Glucoside,0.098164405,
10,SRA2,ambient,Nonsterile,sand,D-xylose,0.001040042,
10,SRA2,ambient,Nonsterile,sand,i-Erythritol,0.072088725,
10,SRA2,ambient,Nonsterile,sand,D-Mannitol,0.521698553,
10,SRA2,ambient,Nonsterile,sand,N-Acetyl-D-Glucosamine,0.31440526,
10,SRA2,ambient,Nonsterile,sand,D-Glucosaminic Acid,0.612760581,
10,SRA2,ambient,Nonsterile,sand,Glucose-1-Phosphate,1,
10,SRA2,ambient,Nonsterile,sand,"D,L-alpha-Glycerol-Phosphate",0.436260623,
10,SRA2,ambient,Nonsterile,sand,D-Galactonic Acid gamma-Lactone,0.461642906,
10,SRA2,ambient,Nonsterile,sand,D-Galacturonic Acid ,0.937225361,
10,SRA2,ambient,Nonsterile,sand,2-Hydroxy Benzoic Acid,0,
10,SRA2,ambient,Nonsterile,sand,4-Hydroxy Benzoic Acid,0.304841602,
10,SRA2,ambient,Nonsterile,sand,gamma-Hydroxybutyric Acid,0.599556295,
10,SRA2,ambient,Nonsterile,sand,Itaconic Acid,0.005425936,
10,SRA2,ambient,Nonsterile,sand,alpha-Ketobutyric Acid,0.309392265,
10,SRA2,ambient,Nonsterile,sand,D-malic Acid,0.722186904,
10,SRA2,ambient,Nonsterile,sand,L-Arginine,0.583201268,
10,SRA2,ambient,Nonsterile,sand,L-Asparagine,0.848739496,
10,SRA2,ambient,Nonsterile,sand,L-Phenylalanine,0.096976612,
10,SRA2,ambient,Nonsterile,sand,L-Serine,0.445007603,
10,SRA2,ambient,Nonsterile,sand,L-Theronine,0.412155745,
10,SRA2,ambient,Nonsterile,sand,Glycyl-L-Glutamic Acid,0.186820218,
10,SRA2,ambient,Nonsterile,sand,Phenylethyl-amine,0.374614911,
10,SRA2,ambient,Nonsterile,sand,Putrescine,0.972053463,
11,SRA3,ambient,Nonsterile,sand,water,0,
11,SRA3,ambient,Nonsterile,sand,pyruvic acid methyl ester,0.604619565,
11,SRA3,ambient,Nonsterile,sand,Tween 40,0.67917847,
11,SRA3,ambient,Nonsterile,sand,Twen 80,0.684725849,
11,SRA3,ambient,Nonsterile,sand,alpha-cyclodextrin,0,
11,SRA3,ambient,Nonsterile,sand,glycogen,0.449728261,
11,SRA3,ambient,Nonsterile,sand,D-Cellobiose,0.532851511,
11,SRA3,ambient,Nonsterile,sand,alpha-D-Lactose,0.368644068,
11,SRA3,ambient,Nonsterile,sand,Beta-Methyl-D-Glucoside,0.273809524,
11,SRA3,ambient,Nonsterile,sand,D-xylose,0.101021566,
11,SRA3,ambient,Nonsterile,sand,i-Erythritol,0.29753762,
11,SRA3,ambient,Nonsterile,sand,D-Mannitol,0.649848638,
11,SRA3,ambient,Nonsterile,sand,N-Acetyl-D-Glucosamine,0.48015873,
11,SRA3,ambient,Nonsterile,sand,D-Glucosaminic Acid,0.580168776,
11,SRA3,ambient,Nonsterile,sand,Glucose-1-Phosphate,3.353333333,
11,SRA3,ambient,Nonsterile,sand,"D,L-alpha-Glycerol-Phosphate",0.432291667,
11,SRA3,ambient,Nonsterile,sand,D-Galactonic Acid gamma-Lactone,0.243140244,
11,SRA3,ambient,Nonsterile,sand,D-Galacturonic Acid ,1.449022346,
11,SRA3,ambient,Nonsterile,sand,2-Hydroxy Benzoic Acid,0,
11,SRA3,ambient,Nonsterile,sand,4-Hydroxy Benzoic Acid,0.349206349,
11,SRA3,ambient,Nonsterile,sand,gamma-Hydroxybutyric Acid,0.614494519,
11,SRA3,ambient,Nonsterile,sand,Itaconic Acid,0.627824019,
11,SRA3,ambient,Nonsterile,sand,alpha-Ketobutyric Acid,1.015706806,
11,SRA3,ambient,Nonsterile,sand,D-malic Acid,0.869688385,
11,SRA3,ambient,Nonsterile,sand,L-Arginine,0.438799076,
11,SRA3,ambient,Nonsterile,sand,L-Asparagine,0.927497315,
11,SRA3,ambient,Nonsterile,sand,L-Phenylalanine,0.176507538,
11,SRA3,ambient,Nonsterile,sand,L-Serine,0.443708609,
11,SRA3,ambient,Nonsterile,sand,L-Theronine,0.405829596,
11,SRA3,ambient,Nonsterile,sand,Glycyl-L-Glutamic Acid,0.27532097,
11,SRA3,ambient,Nonsterile,sand,Phenylethyl-amine,0.415868673,
11,SRA3,ambient,Nonsterile,sand,Putrescine,1.043806647,
12,SRA4,ambient,Nonsterile,sand,water,0,
12,SRA4,ambient,Nonsterile,sand,pyruvic acid methyl ester,0.578363384,
12,SRA4,ambient,Nonsterile,sand,Tween 40,0.767727931,
12,SRA4,ambient,Nonsterile,sand,Twen 80,0.683089214,
12,SRA4,ambient,Nonsterile,sand,alpha-cyclodextrin,0,
12,SRA4,ambient,Nonsterile,sand,glycogen,0,
12,SRA4,ambient,Nonsterile,sand,D-Cellobiose,0,
12,SRA4,ambient,Nonsterile,sand,alpha-D-Lactose,0,
12,SRA4,ambient,Nonsterile,sand,Beta-Methyl-D-Glucoside,0,
12,SRA4,ambient,Nonsterile,sand,D-xylose,0,
12,SRA4,ambient,Nonsterile,sand,i-Erythritol,0,
12,SRA4,ambient,Nonsterile,sand,D-Mannitol,0.533811475,
12,SRA4,ambient,Nonsterile,sand,N-Acetyl-D-Glucosamine,0.503373819,
12,SRA4,ambient,Nonsterile,sand,D-Glucosaminic Acid,0.923132184,
